,Country_x,Medalspermil
0,Hungary,109.60227680192136
1079,Austria,16.954884214398923
1225,Greece,13.673657108287603
1373,United States,14.264877209119241
5958,Germany,16.029352508123843
7263,United Kingdom,26.40538355416217
8983,France,20.895580696943956
10379,Australia,49.99754217296887
11568,Denmark,89.32343575636513
12075,Switzerland,45.85508634271416
12455,0,
12503,Netherlands,50.24644968387839
13354,Belgium,36.41769985276085
13765,India,0.14034546816516402
13949,Canada,18.102312036218905
14605,Sweden,106.5428864202825
15649,Norway,106.62209837293523
16203,Spain,9.522112942212473
16645,Italy,21.31505852143064
17941,Cuba,35.99787243793923
18380,South Africa,1.9287834907778674
18486,Finland,83.18112343038953
18959,Estonia,29.725655069596144
19327,New Zealand,41.34299453837283
19517,Brazil,2.073635439147489
19948,Japan,6.2067539691246445
20736,Luxembourg,3.510767523996096
20738,Argentina,5.965438918684733
20997,Poland,13.44754748576389
21508,Portugal,3.1888223466485672
21541,Uruguay,22.147393820002886
22692,Haiti,0.7468910426944393
22700,Egypt,0.30598389536819504
22728,Philippines,0.08937491630411483
22737,Ireland,6.464537808172598
22767,Chile,1.8386305300365091
22800,Latvia,10.10897474778108
22820,Mexico,0.8345324882867854
22926,Turkey,1.0932319661535383
23012,Panama,0.7635256662970354
23015,Jamaica,46.589416278635525
23142,Sri Lanka,0.09539254030334827
23144,"Korea, South",10.451024946240935
23673,Puerto Rico*,2.302700319096697
23681,Peru,0.47806220354167606
23696,Iran,0.7710853412985522
23757,Trinidad and Tobago,14.704930857415109
25826,Venezuela,0.38575183176668265
25838,Bulgaria,46.391810744817036
26171,Lebanon,0.6836738513381976
26435,Iceland,51.386995462830576
26452,Pakistan,0.6404662204512043
26573,Bahamas,69.58422139122054
26605,Taiwan,inf
26649,Ethiopia,0.45275843073927907
26694,Morocco,0.6399532531601837
26716,Ghana,0.583730844917928
26732,Iraq,0.027454881677010063
26733,Singapore,0.7226736322769169
26737,Tunisia,0.9002682799474243
26747,Kenya,2.019530729679037
26840,Nigeria,0.4610268686349272
28239,Uganda,0.17933826894453253
28246,Cameroon,0.985256324499568
28269,Mongolia,8.11048097179783
28293,"Korea, North",2.305675575465815
28351,Colombia,0.3939562630586134
28370,Niger,0.05025347854578494
28371,Thailand,0.36786691881540556
28396,Bermuda*,15.32919445083161
28397,Tanzania,0.03740385805834329
28399,Guyana,1.3036364940000131
28400,Zimbabwe,1.474099022665939
28423,China,0.5885270051486997
29230,Cote d'Ivoire,0.04404984398426258
29231,Zambia,0.12336718138127695
29233,Dominican Republic,0.5698876494993395
29239,Algeria,0.37815266824900867
29254,Syria,0.1621410137153462
29257,Suriname,3.683410838436392
29259,Costa Rica,0.8319727112950696
29263,Indonesia,0.14753625232643802
29301,Senegal,0.06609702924919128
29302,Djibouti,1.126302427970144
29303,Netherlands Antilles*,inf
29304,Virgin Islands*,9.654932705119045
29528,Namibia,1.6267899773469496
29532,Qatar,1.789424945925815
29536,Lithuania,18.899051233266178
29591,Malaysia,0.26375649183029104
29599,Croatia,26.986055310997717
29713,Israel,0.835282325425994
29720,Slovenia,12.598315314512096
29749,Russia,5.329750112722827
30517,Ukraine,3.8275860543118974
30690,Ecuador,0.123882249178862
30692,Burundi,0.08945407164072454
30693,Mozambique,0.07148508804979137
30695,Czech Republic,5.3074436233386875
30751,Belarus,11.878482077157575
30864,Tonga,9.41885655081473
30865,Kazakhstan,2.7929575973177574
30914,Uzbekistan,0.638987843256282
30934,Slovakia,6.268378794443267
30968,Moldova,1.6881673536569926
30974,Georgia,6.79532481652623
30999,Hong Kong*,0.547517691665412
31003,Armenia,3.6451457262986
31014,Azerbaijan,2.693923927111122
31040,Barbados,3.5184631353025
31041,Saudi Arabia,0.1902323789966713
31047,Kyrgyzstan,0.5036091992613732
31050,Kuwait,0.5138594311833027
31052,Vietnam,0.021809347049958672
31054,Macedonia,0.48112706902681945
31055,Serbia,1.9723179539962472
31069,Eritrea,inf
31070,Paraguay,2.560579160831935
31087,United Arab Emirates,0.1092065131201251
31119,Sudan,0.024854055741980303
31120,Mauritius,0.7920133375046036
31121,Togo,0.1369004479108855
31122,Tajikistan,0.3536962138588787
31125,Afghanistan,0.06148820769929512
31131,Bahrain,0.7260914425040861
31132,Guatemala,0.06118866196121777
31133,Grenada,9.36110461034402
31144,Botswana,0.44199188060915323
31159,Cyprus,0.8581481163648845
31164,Gabon,0.5796120308910028
31165,Albania,0.0
