,Country_x,Aquatics,Archery,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Boxing,Canoe,Canoe / Kayak,Cricket,Croquet,Cycling,Equestrian,Fencing,Football,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu de paume,Judo,Lacrosse,Modern Pentathlon,Polo,Rackets,Roque,Rowing,Rugby,Sailing,Shooting,Skating,Softball,Table Tennis,Taekwondo,Tennis,Triathlon,Tug of War,Volleyball,Water Motorsports,Weightlifting,Wrestling
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Algeria,0.0,0.0,46.666666666666664,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,American Samoa*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Argentina,1.1583011583011582,0.0,1.9305019305019304,0.0,0.0,9.266409266409266,0.0,9.266409266409266,0.0,0.0,0.0,0.0,0.7722007722007722,0.3861003861003861,1.9305019305019304,27.7992277992278,0.0,0.0,0.0,24.71042471042471,0.0,0.0,0.3861003861003861,0.0,0.0,3.861003861003861,0.0,0.0,2.3166023166023164,0.0,7.722007722007722,0.3861003861003861,0.0,0.0,0.0,0.3861003861003861,2.3166023166023164,0.0,0.0,4.633204633204633,0.0,0.7722007722007722,0.0
8,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363636363637,54.54545454545454
9,Aruba*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
