Country_x,Sport,Gold_x,Silver_x,Bronze_x,Total
Afghanistan,Taekwondo,0.0,0.0,2.0,2.0
Algeria,Athletics,4.0,1.0,2.0,7.0
Algeria,Boxing,1.0,0.0,5.0,6.0
Algeria,Judo,0.0,1.0,1.0,2.0
Argentina,Aquatics,1.0,1.0,1.0,3.0
Argentina,Athletics,2.0,3.0,0.0,5.0
Argentina,Basketball,12.0,0.0,12.0,24.0
Argentina,Boxing,7.0,7.0,10.0,24.0
Argentina,Cycling,2.0,0.0,0.0,2.0
Argentina,Equestrian,0.0,1.0,0.0,1.0
Argentina,Fencing,0.0,0.0,5.0,5.0
Argentina,Football,32.0,40.0,0.0,72.0
Argentina,Hockey,0.0,32.0,32.0,64.0
Argentina,Judo,0.0,0.0,1.0,1.0
Argentina,Polo,10.0,0.0,0.0,10.0
Argentina,Rowing,2.0,1.0,3.0,6.0
Argentina,Sailing,0.0,11.0,9.0,20.0
Argentina,Shooting,0.0,1.0,0.0,1.0
Argentina,Taekwondo,1.0,0.0,0.0,1.0
Argentina,Tennis,0.0,1.0,5.0,6.0
Argentina,Volleyball,0.0,0.0,12.0,12.0
Argentina,Weightlifting,0.0,1.0,1.0,2.0
Armenia,Boxing,0.0,0.0,1.0,1.0
Armenia,Weightlifting,0.0,0.0,4.0,4.0
Armenia,Wrestling,1.0,2.0,3.0,6.0
Australia,Aquatics,121.0,139.0,140.0,400.0
Australia,Archery,1.0,0.0,1.0,2.0
Australia,Athletics,24.0,35.0,25.0,84.0
Australia,Baseball,0.0,24.0,0.0,24.0
Australia,Basketball,0.0,36.0,24.0,60.0
Australia,Boxing,0.0,1.0,3.0,4.0
Australia,Canoe,4.0,1.0,0.0,5.0
Australia,Canoe / Kayak,2.0,9.0,22.0,33.0
Australia,Cycling,26.0,24.0,26.0,76.0
Australia,Equestrian,17.0,7.0,7.0,31.0
Australia,Gymnastics,0.0,1.0,0.0,1.0
Australia,Hockey,64.0,46.0,79.0,189.0
Australia,Judo,0.0,0.0,2.0,2.0
Australia,Rowing,21.0,48.0,66.0,135.0
Australia,Sailing,21.0,11.0,14.0,46.0
Australia,Shooting,4.0,1.0,5.0,10.0
Australia,Softball,0.0,15.0,45.0,60.0
Australia,Taekwondo,1.0,1.0,0.0,2.0
Australia,Tennis,2.0,2.0,5.0,9.0
Australia,Triathlon,1.0,2.0,2.0,5.0
Australia,Volleyball,2.0,0.0,2.0,4.0
Australia,Weightlifting,1.0,1.0,2.0,4.0
Australia,Wrestling,0.0,1.0,2.0,3.0
Austria,Aquatics,1.0,6.0,8.0,15.0
Austria,Athletics,1.0,2.0,4.0,7.0
Austria,Canoe / Kayak,4.0,7.0,10.0,21.0
Austria,Cycling,1.0,0.0,2.0,3.0
Austria,Equestrian,1.0,4.0,1.0,6.0
Austria,Fencing,1.0,7.0,5.0,13.0
Austria,Football,0.0,13.0,0.0,13.0
Austria,Handball,0.0,22.0,0.0,22.0
Austria,Judo,2.0,2.0,1.0,5.0
Austria,Rowing,0.0,5.0,4.0,9.0
Austria,Sailing,5.0,5.0,0.0,10.0
Austria,Shooting,1.0,2.0,5.0,8.0
Austria,Tennis,0.0,2.0,0.0,2.0
Austria,Triathlon,1.0,0.0,0.0,1.0
Austria,Weightlifting,3.0,4.0,2.0,9.0
Austria,Wrestling,0.0,0.0,2.0,2.0
Azerbaijan,Boxing,0.0,0.0,6.0,6.0
Azerbaijan,Judo,1.0,0.0,1.0,2.0
Azerbaijan,Shooting,1.0,0.0,2.0,3.0
Azerbaijan,Weightlifting,0.0,0.0,1.0,1.0
Azerbaijan,Wrestling,4.0,5.0,5.0,14.0
Bahamas,Athletics,11.0,9.0,3.0,23.0
Bahamas,Sailing,2.0,0.0,2.0,4.0
Bahrain,Athletics,0.0,0.0,1.0,1.0
Barbados,Athletics,0.0,0.0,1.0,1.0
Belarus,Aquatics,0.0,2.0,0.0,2.0
Belarus,Athletics,4.0,6.0,9.0,19.0
Belarus,Boxing,0.0,2.0,0.0,2.0
Belarus,Canoe,0.0,4.0,4.0,8.0
Belarus,Canoe / Kayak,6.0,0.0,4.0,10.0
Belarus,Cycling,0.0,0.0,1.0,1.0
Belarus,Gymnastics,0.0,14.0,11.0,25.0
Belarus,Judo,1.0,0.0,1.0,2.0
Belarus,Modern Pentathlon,0.0,0.0,1.0,1.0
Belarus,Rowing,2.0,1.0,14.0,17.0
Belarus,Shooting,1.0,2.0,4.0,7.0
Belarus,Tennis,2.0,0.0,1.0,3.0
Belarus,Weightlifting,1.0,3.0,4.0,8.0
Belarus,Wrestling,0.0,3.0,5.0,8.0
Belgium,Aquatics,1.0,34.0,18.0,53.0
Belgium,Archery,35.0,13.0,3.0,51.0
