frame,Coord
166,"[(142.5, 424.5)]"
167,"[(138.5, 423.5)]"
168,"[(141.0, 423.0)]"
169,"[(135.5, 421.5), (350.0, 371.0)]"
170,"[(135.0, 416.0), (350.0, 365.0)]"
171,"[(132.0, 415.0), (350.0, 364.0)]"
172,"[(129.5, 413.5), (794.5, 232.5), (348.5, 362.5)]"
173,"[(125.0, 414.0), (790.0, 231.0), (339.5, 362.5)]"
174,"[(121.0, 415.0), (339.0, 363.0), (783.5, 231.5)]"
175,"[(119.0, 415.0), (782.0, 227.0), (336.5, 364.5)]"
176,"[(778.5, 226.5), (116.5, 416.5)]"
177,"[(774.5, 225.5)]"
195,"[(460.0, 298.0)]"
196,"[(463.0, 296.0), (85.5, 421.5)]"
197,"[(460.5, 290.5), (90.0, 413.0)]"
198,"[(458.5, 289.5), (92.0, 411.0)]"
199,"[(459.5, 288.5), (91.5, 410.5), (309.5, 353.5)]"
200,"[(459.0, 286.0), (92.0, 409.0), (308.0, 351.0)]"
201,"[(460.5, 285.5), (90.0, 411.0), (307.5, 348.5)]"
202,"[(465.0, 287.0), (308.0, 348.0), (92.5, 411.5)]"
203,"[(467.5, 288.5), (91.5, 414.5), (669.5, 258.5)]"
204,"[(468.5, 288.5), (671.5, 257.5), (90.5, 416.5)]"
205,"[(461.5, 288.5), (673.5, 258.5)]"
206,"[(677.0, 258.0)]"
207,"[(733.0, 200.0)]"
208,"[(726.5, 198.5)]"
209,"[(727.5, 198.5)]"
210,"[(718.0, 197.0)]"
211,"[(717.5, 197.5)]"
212,"[(717.0, 199.0)]"
213,"[(716.5, 199.5)]"
214,"[(715.0, 201.0)]"
223,"[(102.0, 437.0)]"
224,"[(102.0, 436.0)]"
225,"[(100.0, 435.0)]"
226,"[(101.0, 434.0)]"
227,"[(102.0, 434.0), (307.0, 371.0)]"
228,"[(310.0, 372.0), (106.0, 435.0)]"
229,"[(311.0, 373.0), (109.0, 437.0)]"
230,"[(311.5, 370.5), (113.0, 440.0)]"
231,"[(316.0, 370.0), (113.5, 443.5)]"
232,"[(316.5, 372.5), (119.5, 451.5)]"
233,"[(317.0, 370.0)]"
234,"[(463.0, 304.0), (323.5, 369.5)]"
235,"[(463.5, 302.5)]"
236,"[(464.5, 302.5)]"
237,"[(467.5, 301.5)]"
238,"[(469.0, 303.0), (673.0, 276.0)]"
239,"[(470.5, 302.5), (672.0, 276.0)]"
240,"[(473.5, 303.5), (676.5, 275.5)]"
241,"[(473.0, 304.0), (683.0, 274.0)]"
242,"[(695.5, 273.5), (729.5, 214.5)]"
243,"[(706.5, 272.5), (733.5, 211.5)]"
244,"[(715.5, 270.5), (741.0, 215.0)]"
245,"[(749.5, 212.5)]"
246,"[(760.5, 214.5)]"
247,"[(764.5, 212.5)]"
248,"[(768.5, 213.5)]"
249,"[(772.0, 213.0), (227.5, 472.5)]"
250,"[(236.0, 471.0), (780.0, 215.0)]"
251,"[(242.0, 469.0)]"
252,"[(256.0, 466.0)]"
253,"[(268.0, 465.0)]"
254,"[(276.5, 464.5)]"
255,"[(284.5, 465.5)]"
256,"[(291.5, 465.5)]"
257,"[(299.0, 470.0)]"
258,"[(306.5, 479.5), (482.0, 394.0)]"
259,"[(486.5, 394.5)]"
260,"[(492.5, 395.5)]"
261,"[(495.0, 397.0)]"
262,"[(505.0, 399.0)]"
263,"[(522.0, 401.0)]"
270,"[(665.5, 327.5)]"
271,"[(664.5, 327.5)]"
272,"[(666.5, 327.5)]"
273,"[(667.5, 327.5)]"
274,"[(671.5, 325.5)]"
275,"[(677.5, 323.5)]"
276,"[(680.0, 324.0)]"
277,"[(926.0, 226.0), (682.0, 325.0), (423.0, 507.0), (901.0, 304.0)]"
278,"[(923.0, 228.0), (421.5, 500.5), (909.5, 303.5), (679.0, 325.0)]"
279,"[(921.5, 228.5), (423.0, 501.0), (909.5, 304.5)]"
280,"[(428.5, 499.5), (924.0, 227.0), (912.0, 305.0)]"
281,"[(433.5, 499.5), (923.5, 228.5), (916.5, 304.5)]"
282,"[(438.0, 501.0), (922.0, 228.0), (918.0, 301.0)]"
