frame,Coord
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
316,1
317,1
318,1
319,1
320,1
321,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
395,1
396,1
397,1
398,1
399,1
400,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
580,1
581,1
581,1
582,1
582,1
583,1
583,1
584,1
584,1
585,1
585,1
586,1
586,1
587,1
587,1
588,1
589,1
604,1
605,1
606,1
607,1
607,1
608,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
635,1
637,1
638,1
639,1
640,1
642,1
643,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
766,1
767,1
