frame,Coord
252,4
256,5
257,5
258,5
258,8
259,5
259,8
260,5
260,8
261,5
261,8
262,8
262,5
263,8
264,8
264,1
265,1
265,2
266,1
267,1
268,1
268,7
268,2
269,7
269,1
269,2
270,7
270,1
270,2
271,7
271,1
271,3
272,7
272,3
272,1
273,7
273,3
274,3
274,7
275,3
276,6
276,3
276,4
277,6
277,4
278,4
278,6
279,6
279,4
280,6
280,5
281,5
281,6
282,5
282,6
283,5
284,8
284,5
285,8
286,8
290,1
290,2
291,7
291,1
291,2
292,7
292,2
292,1
293,7
293,2
293,1
294,7
294,2
294,1
295,7
295,2
295,1
296,7
296,3
296,1
297,3
297,4
297,1
298,3
299,3
300,3
301,5
301,3
301,4
302,5
302,6
303,5
303,6
304,5
304,6
305,6
305,5
305,8
306,6
306,8
306,5
307,6
307,8
308,6
308,8
309,6
309,8
310,6
313,7
314,7
314,2
315,7
315,2
316,7
316,2
316,1
317,7
317,2
317,1
318,2
318,1
318,7
319,1
319,4
319,2
320,4
320,3
320,1
321,4
321,1
322,3
322,4
323,3
323,5
324,5
324,3
325,5
326,5
327,8
327,3
328,8
329,8
330,8
330,6
331,8
331,6
332,6
332,8
333,6
333,8
334,6
334,7
335,6
335,7
336,6
336,7
337,7
337,6
338,7
338,6
338,2
339,2
339,7
340,2
341,2
342,1
342,2
342,4
343,1
343,4
343,2
344,1
344,5
345,1
345,5
345,3
346,3
346,1
346,5
347,3
347,5
347,1
348,3
348,5
348,1
349,3
350,3
351,3
352,3
355,7
356,8
357,8
357,7
358,7
358,8
359,8
359,7
360,7
361,7
362,7
363,7
363,5
364,7
364,5
364,2
365,4
365,7
365,2
366,4
366,2
367,5
368,1
368,5
369,1
369,5
370,1
370,3
370,5
371,1
371,3
372,3
372,1
373,3
373,1
374,3
374,1
375,3
376,8
376,3
377,8
378,8
379,8
380,8
381,8
382,8
384,7
385,7
386,7
387,7
387,2
388,7
388,2
389,2
389,7
389,5
390,2
390,5
390,7
391,7
391,2
391,5
392,2
392,7
395,3
395,1
396,3
396,1
397,3
397,8
397,1
398,3
398,8
398,1
399,3
399,1
399,8
400,3
400,8
400,1
401,8
401,3
402,8
402,3
403,8
407,5
408,5
412,7
412,2
413,7
413,2
414,2
414,7
415,2
415,7
416,7
416,2
417,7
418,7
419,7
420,7
420,1
420,7
421,1
421,3
421,8
422,3
422,1
422,8
423,1
423,3
423,8
424,1
424,8
425,1
425,8
426,1
427,1
430,5
431,5
432,5
433,5
434,5
435,5
436,5
436,2
437,6
437,2
438,7
438,2
439,7
439,2
440,7
441,7
441,7
442,7
442,7
443,7
443,7
444,7
444,7
445,7
445,3
445,6
446,3
446,7
447,3
448,1
448,3
449,1
450,1
451,1
452,1
452,5
453,1
453,5
454,5
454,1
455,5
456,5
457,5
458,5
460,1
461,2
462,2
462,6
463,2
463,7
463,6
464,7
464,6
464,2
465,6
465,7
465,2
466,6
466,7
467,6
467,7
468,6
468,7
469,3
469,6
469,8
470,3
470,8
470,6
471,3
471,8
472,3
472,8
472,5
473,3
473,8
474,1
474,3
474,8
475,1
475,5
476,1
476,5
477,5
477,1
478,1
478,5
479,1
479,5
480,1
481,1
483,7
484,7
485,7
485,1
486,7
486,2
487,7
487,2
488,6
488,2
488,7
489,6
489,2
489,7
490,6
490,2
491,6
492,6
492,3
493,3
493,6
493,8
494,3
494,6
494,8
494,5
495,8
495,3
495,6
496,8
496,5
496,3
497,5
497,3
497,8
498,5
498,3
499,5
500,5
500,1
501,1
501,5
502,1
502,5
503,1
504,1
505,1
505,7
506,1
506,7
507,1
507,7
508,7
508,1
509,1
509,7
510,1
510,7
511,2
511,7
512,2
514,6
514,1
515,6
515,8
516,6
516,8
517,6
517,8
517,5
517,4
518,6
518,8
518,3
518,5
519,6
519,5
519,3
519,8
520,5
520,8
520,3
520,6
521,5
521,3
522,5
522,3
523,5
526,7
526,1
527,7
527,1
528,1
528,7
529,1
529,7
530,1
530,7
531,1
531,7
532,1
532,7
533,1
533,7
533,1
534,2
534,7
534,1
535,1
535,2
536,2
537,6
537,2
538,6
539,6
539,8
539,5
540,6
540,8
540,5
541,6
541,5
541,8
541,3
542,5
542,6
542,3
542,8
543,5
543,3
543,6
543,8
544,5
544,6
544,3
544,8
545,6
545,5
545,3
546,6
546,3
548,7
548,3
549,7
550,7
551,7
552,7
553,7
553,1
554,7
554,1
555,1
556,1
557,1
558,1
558,1
559,1
559,1
559,4
560,1
560,1
561,1
561,1
562,4
562,1
562,7
562,1
563,6
563,4
563,7
564,4
564,6
564,7
565,4
565,6
565,7
565,3
566,4
566,6
566,7
566,3
567,4
567,6
567,3
567,7
568,6
568,4
568,7
568,3
569,6
569,3
570,3
570,5
571,5
571,6
572,6
573,6
574,6
575,6
580,1
581,1
581,1
581,4
582,1
582,1
583,1
583,1
584,1
584,1
585,1
585,1
585,4
586,4
586,1
586,1
586,7
587,4
587,1
587,7
587,1
588,4
588,1
588,7
588,2
589,4
589,7
589,1
589,5
590,3
590,4
590,5
590,7
591,3
591,7
591,5
591,4
592,3
592,7
592,5
593,3
593,6
593,5
594,3
594,6
594,5
595,6
595,3
595,5
596,6
596,5
604,1
604,4
605,1
605,4
606,1
606,4
606,4
607,1
607,1
607,4
608,1
608,1
608,4
609,1
609,4
609,1
610,1
610,4
610,1
611,4
611,1
611,7
611,1
612,4
612,1
612,7
613,1
613,4
613,3
614,3
614,5
614,1
614,7
615,3
615,5
615,7
615,1
616,3
616,5
616,7
616,6
617,3
617,5
617,6
618,3
618,5
618,6
619,5
619,3
620,3
620,5
621,3
627,4
627,5
629,5
630,2
630,5
631,2
631,5
632,2
632,5
633,2
633,5
634,2
634,5
635,2
635,6
635,1
635,5
636,6
636,2
636,7
637,7
637,6
637,1
638,6
638,7
638,6
638,3
638,1
639,7
639,3
639,6
639,7
639,1
640,3
640,6
640,7
640,7
640,1
641,3
641,6
641,6
641,7
642,3
642,6
642,1
643,6
643,1
643,3
644,6
645,6
646,6
647,6
648,4
649,4
650,4
651,5
652,5
653,5
654,5
655,5
656,5
656,2
657,2
657,5
657,6
658,2
658,6
659,2
659,7
660,2
660,7
661,2
661,7
661,1
661,3
661,7
662,3
662,1
662,7
662,2
662,7
663,3
663,7
663,1
663,7
663,6
664,1
664,3
664,6
664,7
664,6
665,3
665,1
665,7
665,6
666,3
666,1
666,6
667,1
667,3
667,6
668,1
668,6
668,3
669,6
669,1
669,4
670,6
670,4
671,6
673,5
674,5
675,5
676,5
677,5
678,5
679,5
679,2
680,2
680,7
681,2
681,7
682,2
682,7
683,2
683,7
684,2
684,7
685,2
685,7
685,8
686,3
686,2
686,8
686,7
687,3
687,8
687,7
688,3
688,8
688,1
688,6
689,3
689,8
689,6
689,1
690,6
690,1
690,3
690,8
691,6
691,1
691,3
692,6
692,1
692,3
693,6
693,1
694,6
694,1
695,6
695,5
695,1
696,6
696,5
697,6
698,5
699,5
700,5
701,5
701,7
702,7
702,5
703,7
704,7
705,7
706,2
706,7
707,2
707,7
708,2
708,7
709,2
709,7
710,2
710,3
710,8
711,3
711,2
711,8
712,3
712,4
712,2
712,8
713,3
713,4
713,8
713,6
714,3
714,1
714,6
714,8
715,1
715,3
715,6
715,4
715,8
716,1
716,6
716,3
716,4
717,1
717,6
717,4
718,1
718,6
719,1
719,6
720,1
720,6
720,5
721,1
721,5
721,6
722,5
722,1
723,5
723,7
724,7
724,5
725,7
725,5
726,7
727,7
728,7
729,7
729,2
730,2
730,7
731,2
731,7
732,2
733,2
734,2
734,3
735,3
735,2
735,4
736,3
736,2
737,3
737,8
738,3
738,8
739,3
739,8
739,4
740,4
740,6
740,3
740,1
741,1
741,5
742,1
742,5
743,1
743,5
743,6
744,5
744,1
744,6
745,1
745,5
746,1
746,5
747,1
747,5
748,7
748,5
748,1
749,7
750,7
751,7
752,7
753,7
754,2
755,2
756,2
757,2
758,2
758,3
758,7
758,4
759,2
759,4
759,8
759,3
760,2
760,3
760,4
760,8
761,2
761,3
761,4
761,8
762,3
762,6
762,4
763,3
763,6
763,4
764,6
764,3
764,8
764,5
765,6
765,5
766,3
766,6
766,1
766,5
767,1
767,5
768,1
769,1
769,7
770,1
770,7
771,2
771,7
771,5
772,2
772,7
773,1
773,7
774,1
774,7
775,7
780,3
781,3
782,3
783,8
783,3
783,3
784,3
784,8
785,3
785,8
785,6
785,3
786,3
786,3
786,6
786,8
787,3
787,3
788,6
788,3
788,3
790,7
791,7
792,7
792,2
793,2
793,7
794,2
794,7
795,2
795,7
796,2
